CookerStat, GenerateAssetRegistry=0.053879, Initialize=0.236906, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_25, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C389E88B4E00207041216E9644502955__1_0_13123_0, StartTime=2018.05.26-16.21.24, HierarchicalDDC=, DataSize=458, Duration=3.412023, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_26, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_AD74AD404D31E8CDD7A8BC9DE1E7AA81__1_0_13123_0, StartTime=2018.05.26-16.21.24, HierarchicalDDC=, DataSize=347, Duration=31.970545, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_27, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C469F60048A0939C4414B4A3331A0F7F__1_0_13123_0, StartTime=2018.05.26-16.21.24, HierarchicalDDC=, DataSize=347, Duration=1.872145, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_28, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_AF725B8A4F6D646DAAADE9B723AFFA38__1_0_13123_0, StartTime=2018.05.26-16.21.24, HierarchicalDDC=, DataSize=347, Duration=3.591623, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_29, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_77AB8EBA491803E039EC408E7A435F91__1_0_13123_0, StartTime=2018.05.26-16.21.24, HierarchicalDDC=, DataSize=347, Duration=1.290575, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_30, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0E0966C148139ECCEEB43DB3809A3772__1_0_13123_0, StartTime=2018.05.26-16.21.24, HierarchicalDDC=, DataSize=409, Duration=2.792820, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_31, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_01DDF64C472165D78BC7A28219D975AA__1_0_13123_0, StartTime=2018.05.26-16.21.26, HierarchicalDDC=, DataSize=458, Duration=3.275610, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_32, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_AF2C085145CCD8E2A427D08F89D36C72__1_0_13123_0, StartTime=2018.05.26-16.21.26, HierarchicalDDC=, DataSize=347, Duration=2.198424, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_33, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_10C8E80B4B2865F5DD813390FE2684F9__1_0_13123_0, StartTime=2018.05.26-16.21.26, HierarchicalDDC=, DataSize=347, Duration=3.208045, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_34, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_ED2663E3444FB78826B997820EC675C6__1_0_13123_0, StartTime=2018.05.26-16.21.26, HierarchicalDDC=, DataSize=347, Duration=2.355788, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_35, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5A9C9C6242927AF561CB5CAAAC710B94__1_0_13123_0, StartTime=2018.05.26-16.21.26, HierarchicalDDC=, DataSize=347, Duration=2.205692, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_36, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2158588949BD8161A33EE8AE6522BC54__1_0_13123_0, StartTime=2018.05.26-16.21.26, HierarchicalDDC=, DataSize=409, Duration=3.246106, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_37, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8AFEC14B41B2C173C5394FA61CEA284B__1_0_13123_0, StartTime=2018.05.26-16.21.27, HierarchicalDDC=, DataSize=458, Duration=3.175974, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_38, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8E6DE1BC430BBE6FD6BDB3B4A494AE1F__1_0_13123_0, StartTime=2018.05.26-16.21.27, HierarchicalDDC=, DataSize=347, Duration=18.326736, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_39, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_15A5280C48D1A53DFA412180BD922496__1_0_13123_0, StartTime=2018.05.26-16.21.27, HierarchicalDDC=, DataSize=347, Duration=2.582855, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_40, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4618D81A48F5F66A6672508A01E3263C__1_0_13123_0, StartTime=2018.05.26-16.21.27, HierarchicalDDC=, DataSize=347, Duration=2.350230, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_41, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_189513BB4F6E4F091D4298BA371EE5B0__1_0_13123_0, StartTime=2018.05.26-16.21.27, HierarchicalDDC=, DataSize=347, Duration=2.636310, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_42, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_42C7BB1A4BEB8B5042B3F0AD35E2ECD2__1_0_13123_0, StartTime=2018.05.26-16.21.27, HierarchicalDDC=, DataSize=347, Duration=2.162073, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_43, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_25E606E34065E1848EDB7CA2CD377D1E__1_0_13123_0, StartTime=2018.05.26-16.21.27, HierarchicalDDC=, DataSize=347, Duration=3.733169, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_44, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7CB0EDEA4939AAC6BF7487B78B5A87AB__1_0_13123_0, StartTime=2018.05.26-16.21.28, HierarchicalDDC=, DataSize=458, Duration=3.484719, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_45, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_50BF2EE647EF69A0F38B139DE45604FA__1_0_13123_0, StartTime=2018.05.26-16.21.28, HierarchicalDDC=, DataSize=347, Duration=2.246745, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_46, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CC3F248641C93466CEB773AF9AE2816E__1_0_13123_0, StartTime=2018.05.26-16.21.28, HierarchicalDDC=, DataSize=347, Duration=2.148390, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_47, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_25FE052A42921E56283407BF63E93A3C__1_0_13123_0, StartTime=2018.05.26-16.21.28, HierarchicalDDC=, DataSize=347, Duration=15.360299, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_48, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A74C64CD4753494D0C69C98DB732395D__1_0_13123_0, StartTime=2018.05.26-16.21.28, HierarchicalDDC=, DataSize=347, Duration=2.624337, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_49, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4A50C7554CCEB6B70797DDB7388457A3__1_0_13123_0, StartTime=2018.05.26-16.21.28, HierarchicalDDC=, DataSize=409, Duration=2.868936, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
