CookerStat, GenerateAssetRegistry=0.050031, Initialize=0.233054, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_29, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7DCC0DB64FA59787AD75F1AB1233B190__1_0_13123_0, StartTime=2018.06.09-17.42.15, HierarchicalDDC=, DataSize=347, Duration=26.158691, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_30, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1A691EF0495BF93CED7CF68B9249127B__1_0_13123_0, StartTime=2018.06.09-17.42.15, HierarchicalDDC=, DataSize=347, Duration=2.171051, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_31, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A61D912C4ECF0D84C612E7AC12EE1194__1_0_13123_0, StartTime=2018.06.09-17.42.15, HierarchicalDDC=, DataSize=347, Duration=1.320507, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_32, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8CD963E34F54A31B5991E8AA0BCA8C3F__1_0_13123_0, StartTime=2018.06.09-17.42.15, HierarchicalDDC=, DataSize=409, Duration=2.057735, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_33, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A292A2E0471499646CA29EB48D1C5BCA__1_0_13123_0, StartTime=2018.06.09-17.42.21, HierarchicalDDC=, DataSize=347, Duration=2.610654, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_34, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_405BC8964EEC0F308B1E30A147A17D33__1_0_13123_0, StartTime=2018.06.09-17.42.21, HierarchicalDDC=, DataSize=347, Duration=2.229638, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_35, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_263512FD46AFBF0784951593168640CB__1_0_13123_0, StartTime=2018.06.09-17.42.21, HierarchicalDDC=, DataSize=347, Duration=2.026088, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_36, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D211225145FBE573F6614BBA684B74E4__1_0_13123_0, StartTime=2018.06.09-17.42.21, HierarchicalDDC=, DataSize=347, Duration=2.742361, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_37, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_49F26B074788960B54020888FA00D1B1__1_0_13123_0, StartTime=2018.06.09-17.42.21, HierarchicalDDC=, DataSize=409, Duration=1.657475, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
SavePackageTransactionId0D385E414F670F31FF9ADD83F195A743_0, Filename=../../../../sergey/UnrealProjects/Game_1337/TopDownProjectNewRepository/Saved/Autosaves/Game/TopDownBP/Maps/LowPolyMap_Auto1.umap, AutoPackageBackupDelegate=20.688084, FlushAsyncLoading=0.021383, FlushStreamingFunc=0.076119, BlockTillAllRequestsFinished=0.011116, ResetLoadersForSaveUnMarkAllObjects=0.281807, TagPackageExports=5.337618, BeginCacheForCookedPlatformData=0.010263, SerializeImports=6.363064, GatherLocalizableTextData=86.360634, MarkNames=0.197563, SerializeSummary=0.035923, SerializeNames=0.843704, SerializeGatherableTextData=0.078253, BuildExportMap=0.704300, SortExportsNonSeekfree=1.085315, SortExportsSeekfreeConstructor=0.132136, SortExportsSeekfreeInner=44.328064, SortExportsSeekfree=0.012826, BuildDependencyMap=1.323074, SerializeImportMap=0.089802, SerializeExportMap=0.075690, SerializeDependencyMap=0.047039, SerializeStringAssetReferenceMap=0.013687, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.476376, SerializeExports=15.127245, SerializeBulkData=6.763320, MoveFile=1.113534, UnaccountedTime=0.239898, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
